writeFailed "エラー、ゲームフォルダは読み込みのみ" 


measuringFPS "上限のFPSを試しています"

vsyncWarning "注意、VSYNCは中止する"　
vsyncWarning2 "【表示ティアリングの可能性】"　

vsyncWarning3 "ビデオコントロールパネルに直れます"　

vsyncContinueMessage "VSYNCなくして続くにはYを押してください、ESCは終了のため"　


fpsErrorLogin "ERROR:  FPS MISMATCH DETECTED.  VSYNC CHANGED?##MEASURED %0.1f FPS, EXPECTING %d FPS"



loading "ロード中"

sprites "スプライト"
objects "物"　
transitions "画面転移"　
animations "アニメーション"　
categories "種類"

groundTextures "土のテクスチャ"　


spritesRebuild "スプライト##【キャッシュメモリーの再生中】"　
objectsRebuild "物##【キャッシュメモリーの再生中】"
transitionsRebuild "画面転移##【キャッシュメモリーの再生中】"
animationsRebuild "アニメーション##【キャッシュメモリーの再生中】"
categoriesRebuild "種類##【キャッシュメモリーの再生中】"




email "メール:"
atSignTip "記号「@」を入れる (INTL KEYBOARDS)"　


loginButton "ログイン"
friendsButton "友達と遊ぶ"
familyTrees "系図"

clearAccount "アカウントを削除する"
settingsButton "設定"
postReviewButton "レビューを投稿する"
updateReviewButton "レビューを編集する"

reviewText "レビュー文"　
reviewName "名前"　

recommend "おすすめ"
recommendYes "おすすめします"
recommendNo "おすすめしません"

postButton "投稿"
postReviewTip "ONEHOURONELIFE.COMに掲げる"

updateButton "編集"
updateReviewTip "ONEHOURONELIFE.COMに書き換える"

removeButton "削除"
removeReviewTip "ONEHOURONELIFE.COMから消す"


copyReviewTip "レビュー文をコピーする"　
copySelectionTip "選択をコピーする"　

spellCheck "CHECK SPELLING"

requestDenied "POST REQUEST DENIED"

reviewPosted "レビューは投稿しました"　
reviewUpdated "レビューは編集しました"　
reviewRemoved "レビューは削除しました"　



saveTip "ログインして、データをパソコン内に保存する"　
clearAccountTip "パソコンかる　アカウントデータを削除する"


accountKey "製品コード:"
paste "貼り付け"
copy "コピー"
clear "削除"

charLimit "字数の５千字制限を超えました"　******


twinCode "双子コード:"　
generate "生成"

twinTip "双子コードを友達と共有して、一緒に生まれてくる"　

twins "双子"
triplets "三つ子"
quadruplets "四つ子"

cancel "キャンセル"


backButton "戻る"
restartButton "再起動"　
fullscreen "フルスクリーン:"　
borderless "枠なし:"
musicLoudness "楽量:"　
soundLoudness "音量:"

currentFPS "現在FPS:"
targetFPS "目的FPS:"
vsyncOn "VSYNCの使用:"
vsyncYes "使う"
vsyncNo "使わない"
redetectButton "RE-DETECT"


cursor "マウスポインタ:"

system "通常"
drawn "描いた"
both "両方"

scale "大きさ:"


useCustomServer "USE CUSTOM SERVER:"
address "ADDRESS:"
port "PORT:"



downloadingUpdate "アップデートをダウンロード中"　
applyingUpdate "アップデートをしています"

serverShutdownMessage "THE SERVERS HAVE BEEN##SHUT DOWN FOR MAINTENANCE.##PLEASE TRY AGAIN LATER."

upgradeMessage "最後のアップデートをダウンロードしてください"　

upgradeMessageSteam "STEAMでアップデートしてください"　

steamID  "STEAM ID:"

editAccount "アカウントを編集"

